,stim,S,R,RT,block,day,cond
0,pellew,N,-1,-1,1,1,single
1,cryptac,N,-1,-1,1,1,single
2,manoci,N,-1,-1,1,1,single
3,hidgeng,N,-1,-1,1,1,single
4,etenarory,N,-1,-1,1,1,single
5,skam,N,-1,-1,1,1,single
6,curl,W,-1,-1,1,1,single
7,fathom,W,-1,-1,1,1,single
8,scossirs,N,-1,-1,1,1,single
9,accusation,W,-1,-1,1,1,single
10,sombre,P,-1,-1,1,1,single
11,dictrani,N,-1,-1,1,1,single
12,discind,N,-1,-1,1,1,single
13,linuont,N,-1,-1,1,1,single
14,sphere,W,-1,-1,1,1,single
15,pratan,N,-1,-1,1,1,single
16,lirch,N,-1,-1,1,1,single
17,tyrenny,N,-1,-1,1,1,single
18,piwn,N,-1,-1,1,1,single
19,flert,N,-1,-1,1,1,single
20,tenancy,W,-1,-1,1,1,single
21,intuitive,W,-1,-1,1,1,single
22,sombre,P,-1,-1,1,1,single
23,dosrapt,N,-1,-1,1,1,single
24,ronavito,N,-1,-1,1,1,single
25,chlorine,W,-1,-1,1,1,single
26,oxcurpt,N,-1,-1,1,1,single
27,samblencu,N,-1,-1,1,1,single
28,menaoivra,N,-1,-1,1,1,single
29,uxtonct,N,-1,-1,1,1,single
30,ummenaty,N,-1,-1,1,1,single
31,ripraovu,N,-1,-1,1,1,single
32,jetty,W,-1,-1,1,1,single
33,spree,W,-1,-1,1,1,single
34,ruosang,N,-1,-1,1,1,single
35,amenity,W,-1,-1,1,1,single
36,domp,N,-1,-1,1,1,single
37,imagining,W,-1,-1,1,1,single
38,pargi,N,-1,-1,1,1,single
39,irchatypol,N,-1,-1,1,1,single
40,pesh,N,-1,-1,1,1,single
41,hitch,W,-1,-1,1,1,single
42,pell,N,-1,-1,1,1,single
43,stafleng,N,-1,-1,1,1,single
44,bash,W,-1,-1,1,1,single
45,olugincu,N,-1,-1,1,1,single
46,drell,N,-1,-1,1,1,single
47,sombre,P,-1,-1,1,1,single
48,char,W,-1,-1,1,1,single
49,denk,N,-1,-1,1,1,single
50,veleint,N,-1,-1,1,1,single
51,diversify,W,-1,-1,1,1,single
52,cheat,W,-1,-1,1,1,single
53,putufil,N,-1,-1,1,1,single
54,oppreusul,N,-1,-1,1,1,single
55,bouquet,W,-1,-1,1,1,single
56,munar,N,-1,-1,1,1,single
57,mulidy,N,-1,-1,1,1,single
58,crouch,W,-1,-1,1,1,single
59,strepo,N,-1,-1,1,1,single
60,sombre,P,-1,-1,1,1,single
61,ivory,W,-1,-1,1,1,single
62,blatant,W,-1,-1,1,1,single
63,antorforo,N,-1,-1,1,1,single
64,biican,N,-1,-1,1,1,single
65,skitchy,N,-1,-1,1,1,single
66,shrub,W,-1,-1,1,1,single
67,twanklu,N,-1,-1,1,1,single
68,lottery,W,-1,-1,1,1,single
69,appease,W,-1,-1,1,1,single
70,glammar,N,-1,-1,1,1,single
71,javelin,W,-1,-1,1,1,single
72,sulphur,W,-1,-1,1,1,single
73,altar,W,-1,-1,1,1,single
74,frectoun,N,-1,-1,1,1,single
75,focodu,N,-1,-1,1,1,single
76,sombre,P,-1,-1,1,1,single
77,prisurvang,N,-1,-1,1,1,single
78,slep,N,-1,-1,1,1,single
79,idvunt,N,-1,-1,1,1,single
80,quantify,W,-1,-1,1,1,single
81,thunder,W,-1,-1,1,1,single
82,netarouty,N,-1,-1,1,1,single
83,sombre,P,-1,-1,1,1,single
84,frontoc,N,-1,-1,1,1,single
85,trillion,W,-1,-1,1,1,single
86,beffor,N,-1,-1,1,1,single
87,detract,W,-1,-1,1,1,single
88,gruppli,N,-1,-1,1,1,single
89,griotang,N,-1,-1,1,1,single
90,quantum,W,-1,-1,1,1,single
91,surana,N,-1,-1,1,1,single
92,utmost,W,-1,-1,1,1,single
93,ratified,W,-1,-1,1,1,single
94,sombre,P,-1,-1,1,1,single
95,nomadic,W,-1,-1,1,1,single
96,edgy,W,-1,-1,1,1,single
97,morgue,W,-1,-1,1,1,single
98,smaur,N,-1,-1,1,1,single
99,gormont,N,-1,-1,1,1,single
100,violet,W,-1,-1,1,1,single
101,decree,W,-1,-1,1,1,single
102,tentative,W,-1,-1,1,1,single
103,sorriel,N,-1,-1,1,1,single
104,resent,W,-1,-1,1,1,single
105,daveta,N,-1,-1,1,1,single
106,unison,W,-1,-1,1,1,single
107,simustor,N,-1,-1,1,1,single
108,apocalypse,W,-1,-1,1,1,single
109,gritisqao,N,-1,-1,1,1,single
110,torpedo,W,-1,-1,1,1,single
111,spuctro,N,-1,-1,1,1,single
112,clironut,N,-1,-1,1,1,single
113,malaise,W,-1,-1,1,1,single
114,usileti,N,-1,-1,1,1,single
115,ruvimp,N,-1,-1,1,1,single
116,fortress,W,-1,-1,1,1,single
117,cuigh,N,-1,-1,1,1,single
118,gravel,W,-1,-1,1,1,single
119,sombre,P,-1,-1,1,1,single
120,fuda,N,-1,-1,1,1,single
121,hisetint,N,-1,-1,1,1,single
122,nifty,W,-1,-1,1,1,single
123,denim,W,-1,-1,1,1,single
124,trinch,N,-1,-1,1,1,single
125,prutecal,N,-1,-1,1,1,single
126,enviable,W,-1,-1,1,1,single
127,scan,W,-1,-1,1,1,single
128,stotoro,N,-1,-1,1,1,single
129,antenna,W,-1,-1,1,1,single
130,sombre,P,-1,-1,1,1,single
131,gret,N,-1,-1,1,1,single
132,trinity,W,-1,-1,1,1,single
133,jewel,W,-1,-1,1,1,single
134,excursion,W,-1,-1,1,1,single
135,birrock,N,-1,-1,1,1,single
136,integrate,W,-1,-1,1,1,single
137,literate,W,-1,-1,1,1,single
138,sombre,P,-1,-1,1,1,single
139,sterong,N,-1,-1,1,1,single
140,sheck,N,-1,-1,1,1,single
141,ghetto,W,-1,-1,1,1,single
142,sofa,W,-1,-1,1,1,single
143,plotenem,N,-1,-1,1,1,single
144,jawol,N,-1,-1,1,1,single
145,idle,W,-1,-1,1,1,single
146,ascolotong,N,-1,-1,1,1,single
147,mend,W,-1,-1,1,1,single
148,ragol,N,-1,-1,1,1,single
149,mest,N,-1,-1,1,1,single
150,tabloid,W,-1,-1,1,1,single
151,propose,W,-1,-1,1,1,single
152,hemad,N,-1,-1,1,1,single
153,sane,W,-1,-1,1,1,single
154,hoist,W,-1,-1,1,1,single
155,trot,W,-1,-1,1,1,single
156,rinse,W,-1,-1,1,1,single
157,soum,N,-1,-1,1,1,single
158,sanctity,W,-1,-1,1,1,single
159,efficacy,W,-1,-1,1,1,single
160,ceta,N,-1,-1,1,1,single
161,sever,W,-1,-1,1,1,single
162,tracing,W,-1,-1,1,1,single
163,sict,N,-1,-1,1,1,single
164,avid,W,-1,-1,1,1,single
165,venerable,W,-1,-1,1,1,single
166,ixobirenci,N,-1,-1,1,1,single
167,sombre,P,-1,-1,1,1,single
168,terrified,W,-1,-1,1,1,single
169,reticence,W,-1,-1,1,1,single
170,graft,W,-1,-1,1,1,single
171,cleng,N,-1,-1,1,1,single
172,finnuast,N,-1,-1,1,1,single
173,dacancy,N,-1,-1,1,1,single
174,imesi,N,-1,-1,1,1,single
175,stulk,N,-1,-1,1,1,single
176,herp,N,-1,-1,1,1,single
177,sombre,P,-1,-1,1,1,single
178,alaqaont,N,-1,-1,1,1,single
179,serenity,W,-1,-1,1,1,single
180,chalice,W,-1,-1,1,1,single
181,lateral,W,-1,-1,1,1,single
